date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1991-11-01,0,3.1603481650228465e-5,0,3.292029338565465e-4,3.2393568691484176e-4,1.0534493883409488e-5,2.765304644394991e-4
1991-12-01,2.7559369772332046e-6,5.511873954466409e-5,2.7559369772332046e-6,3.2795650029075133e-4,2.452783909737552e-4,8.267810931699614e-6,2.0945121026972355e-4
1992-01-01,0,2.6644661108366164e-4,0,2.6644661108366164e-4,4.2165822919064904e-4,5.173720603566245e-6,2.3281742716048105e-4
1992-02-01,0,4.204927123356793e-5,0,2.549237068535056e-4,3.653030438416214e-4,7.884238356293988e-6,2.759483424702896e-4
1992-03-01,0,2.6650708545428554e-5,0,2.1320566836342843e-4,5.233230041647789e-4,9.691166743792203e-6,2.447019602807531e-4
1992-04-01,0,1.999720039194513e-5,0,3.524506569080329e-4,6.449097126402304e-4,9.998600195972564e-6,3.1245625612414264e-4
1992-05-01,0,2.7496219269850397e-5,0,3.099573808601317e-4,4.174426016422742e-4,5.749209483695992e-5,3.5745085050805514e-4
1992-06-01,0,4.006185550489956e-5,0,3.0714089220423e-4,2.991285211032501e-4,2.1366322935946435e-5,3.525443284431162e-4
1992-07-01,0,2.3296567897847138e-5,0,2.795588147741657e-4,5.021704635758161e-4,7.765522632615712e-6,3.15797920393039e-4
1992-08-01,0,2.5343595800059304e-5,0,2.8638263254067013e-4,2.91451351700682e-4,7.6030787400177916e-6,3.2946674540077094e-4
1992-09-01,2.5358505876833736e-6,3.2966057639883856e-5,0,3.2205302463578846e-4,4.0066439285397305e-4,5.071701175366747e-6,3.068379211096882e-4
1992-10-01,0,1.929873231452109e-5,0,3.0395503395370715e-4,4.3663381861603967e-4,1.2061707696575682e-5,2.967180093357618e-4
1992-11-01,2.5583888290510168e-6,2.5583888290510168e-5,0,3.172402148023261e-4,3.5817443606714236e-4,1.0233555316204067e-5,2.430469387598466e-4
1992-12-01,0,4.024387790007445e-5,0,1.987041471316176e-4,4.955027466446667e-4,7.5457271062639595e-6,1.7103648107531642e-4
1993-01-01,0,6.366089311336046e-5,0,2.4974658067549105e-4,4.2848678057069543e-4,1.7139471222827817e-5,2.693345477872943e-4
1993-02-01,0,2.312507065993813e-5,0,2.029867313483458e-4,3.2888989383023115e-4,1.2847261477743404e-5,3.2632044153468247e-4
1993-03-01,0,2.7509307315641793e-5,0,2.8197039998532837e-4,4.4244135932657215e-4,1.1462211381517414e-5,3.0718726502466665e-4
1993-04-01,0,1.9056739058454164e-5,0,2.858510858768125e-4,4.1448407452137807e-4,1.9056739058454164e-5,3.73988504022163e-4
1993-05-01,0,1.8542813037451847e-5,0,3.407241895631777e-4,5.307880231970591e-4,1.1589258148407404e-5,3.013207118585925e-4
